Ticker,Name,Sector,Price,PE,PBV,ROE,Net_Margin,Div_Yield,Total_Score,Grade,Score_Valuation,Score_Profit,Score_Health,Score_Dividend,Score_Efficiency
PTTEP,PTTEP_PTT EXPLORATION AND,Energy,154.0,10.144927,1.1335471,11.36,21.38,5.68,62.7,C,14.7,8.9,17.9,5.7,15.4
KTB,KTB_KRUNG THAI BANK,Financial Services,34.5,10.0,1.0387186,11.02,37.14,10.48,59.6,C,15.3,13.3,10.0,20.0,1.0
BBL,BBL_BANGKOK BANK,Financial Services,166.0,6.8879666,0.5521095,8.19,32.32,9.94,57.0,C,20.0,8.6,10.0,18.4,0.0
SCB,SCB_SCB X,Financial Services,145.5,10.319149,0.9891029,9.68,36.5,7.75,49.6,D,15.2,11.6,10.0,11.8,1.0
BDMS,BDMS_BANGKOK DUSIT MEDICAL,Healthcare,18.9,18.9,2.83656,15.3,14.0,4.23,45.9,D,0.0,11.3,13.3,1.3,20.0
KBANK,KBANK_KASIKORNBANK,Financial Services,189.5,9.181202,0.77258956,8.45,32.08,6.33,44.2,D,17.1,8.8,10.0,7.6,0.7
TOP,TOP_THAI OIL,Energy,45.75,7.0061255,0.5943411,8.15,4.41,4.37,36.4,D,19.7,0.0,13.5,1.7,1.4
CPN,CPN_CENTRAL PATTANA,Real Estate,63.25,15.059525,2.5834253,16.74,34.81,3.79,35.6,D,4.3,19.3,0.0,0.0,12.0
